State,RegionName
Michigan,Adrian College, Siena Heights University
Michigan,Albion College
Michigan,Grand Valley State University
Michigan,Alma College
Michigan,University of Michigan
Michigan,Andrews University
Michigan,Ferris State University
Michigan,Michigan State University
Michigan,Kettering University, University of Michigan-Flint
Michigan,Hillsdale College
Michigan,Michigan Technological University
Michigan,Western Michigan University, Kalamazoo College
Michigan,Northern Michigan University
Michigan,Northwood University
Michigan,Central Michigan University
Michigan,Olivet College
Michigan,Saginaw Valley State University
Michigan,Lake Superior State University
Michigan,Spring Arbor University
Michigan,Eastern Michigan University
Minnesota,Bemidji State University
Minnesota,University of Minnesota Crookston
Minnesota,University of Minnesota Duluth, Lake Superior College, The College of St. Scholastica, University of Wisconsin–Superior, Duluth Business University
Minnesota,Faribault, South Central College
Minnesota,Minnesota State University, Mankato
Minnesota,Southwest Minnesota State University
Minnesota,Minnesota State University, Moorhead, Concordia College
Minnesota,University of Minnesota Morris
Minnesota,Carleton College, St. Olaf College
Minnesota,North Mankato, South Central College
Minnesota,St. Cloud State University, The College of St. Scholastica
Minnesota,College of Saint Benedict
Minnesota,Gustavus Adolphus College
Minnesota,Winona State University, St. Mary's University of Minnesota
Mississippi,Delta State University
Mississippi,University of Southern Mississippi
Mississippi,Mississippi Valley State University
Mississippi,University of Mississippi
Mississippi,Mississippi State University
Missouri,Southwest Baptist University
Missouri,Southeast Missouri State University
Missouri,University of Missouri, Stephens College, Columbia College
Missouri,Central Methodist University
Missouri,Westminster College and William Woods University
Missouri,Truman State University, A. T. Still University
Missouri,Northwest Missouri State University
Missouri,Missouri University of Science and Technology
Missouri,University of Central Missouri
Montana,Montana State University
Montana,University of Montana Western
Montana,University of Montana
Nebraska,Chadron State College
Nebraska,Doane College
Nebraska,University of Nebraska at Kearney
Nebraska,University of Nebraska at Lincoln
Nebraska,Peru State College
Nebraska,Concordia University
Nebraska,Wayne State College
Nevada,University of Nevada, Las Vegas
Nevada,University of Nevada, Reno
New Hampshire,Colby-Sawyer College
New Hampshire,University of New Hampshire
New Hampshire,Dartmouth College
New Hampshire,New England College
New Hampshire,Keene State College
New Hampshire,Plymouth State University
New Hampshire,Franklin Pierce University
New Jersey,The College of New Jersey
New Jersey,New Jersey City University
New Jersey,Rowan University
New Jersey,Stevens Institute of Technology
New Jersey,Drew University
New Jersey,Rutgers University
New Jersey,Rutgers University
New Jersey,Princeton University
New Jersey,Kean University
New Jersey,Monmouth University
New Mexico,University of the Southwest
New Mexico,New Mexico State University
New Mexico,New Mexico Highlands University
New Mexico,Eastern New Mexico University
New Mexico,Western New Mexico University
New York,Alfred University, Alfred State College
New York,SUNY Albany, Siena College, Albany College of Pharmacy, Albany Law School, Albany Medical College, College of Saint Rose, Excelsior College, Maria College of Albany, Mildred Elley, Sage College of Albany
New York,Wells College
New York,Binghamton University
New York,SUNY Brockport
New York,University at Buffalo
New York,St. Lawrence University, SUNY Canton
New York,Hamilton College
New York,SUNY Cobleskill
New York,SUNY Delhi
New York,SUNY Fredonia
New York,SUNY Geneseo
New York,Hobart and William Smith Colleges
New York,Colgate University
New York,Cornell University, Ithaca College
New York,Columbia University, Barnard College, Teachers College, Manhattan School of Music, Jewish Theological Seminary, Union Theological Seminary, Bank Street College of Education
New York,SUNY New Paltz
New York,SUNY Oneonta, Hartwick College
New York,SUNY Oswego
New York,SUNY Plattsburgh
New York,SUNY Potsdam, Clarkson University
New York,Vassar College, Marist College
New York,Purchase College, Manhattanville College
New York,University of Rochester, Rochester Institute of Technology, Nazareth College, St. John Fisher College, Monroe Community College, Roberts Wesleyan College, SUNY Brockport, SUNY Empire State College
New York,Skidmore College
New York,New York Chiropractic College
New York,Stony Brook University
New York,Syracuse University, SUNY ESF, Upstate Medical University
New York,Bard College
New York,Rensselaer Polytechnic Institute, Russell Sage College, Hudson Valley Community College
New York,United States Military Academy
North Carolina,Lees-McRae College
North Carolina,Gardner-Webb University
North Carolina,Appalachian State University
North Carolina,Campbell University
North Carolina,University of North Carolina at Chapel Hill
North Carolina,Western Carolina University
North Carolina,Davidson College
North Carolina,Duke University, North Carolina Central University
North Carolina,Elon University
North Carolina,University of North Carolina at Greensboro, Greensboro College, Guilford College, North Carolina A & T State University, Bennett College
North Carolina,East Carolina University
North Carolina,Lenoir-Rhyne University
North Carolina,Mars Hill College
North Carolina,Mount Olive College
